timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775468319857,329,HTTP Request,200,OK,Stress Test - 500 Users 6-1,text,true,,34901,241,4,14,http://localhost/opencart/,51,0,41
1775468319856,330,HTTP Request,200,OK,Smoke Test - 2 Users 1-1,text,true,,34901,241,2,14,http://localhost/opencart/,51,0,41
1775468319857,59,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-1,text,true,,620,120,4,14,http://localhost/opencart,51,0,41
1775468319856,331,HTTP Request,200,OK,Load Test-Scenario 1 - 10 Users 3-1,text,true,,34909,241,1,14,http://localhost/opencart/,51,0,41
1775468319856,59,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 1 - 10 Users 3-1,text,true,,620,120,1,14,http://localhost/opencart,51,0,41
1775468319917,270,HTTP Request-1,200,OK,Load Test-Scenario 1 - 10 Users 3-1,text,true,,34289,121,1,14,http://localhost/opencart/,268,0,0
1775468319917,269,HTTP Request-1,200,OK,Stress Test - 500 Users 6-1,text,true,,34281,121,4,14,http://localhost/opencart/,267,0,0
1775468319856,59,HTTP Request-0,301,Moved Permanently,Smoke Test - 2 Users 1-1,text,true,,620,120,2,14,http://localhost/opencart,51,0,41
1775468319917,269,HTTP Request-1,200,OK,Smoke Test - 2 Users 1-1,text,true,,34281,121,2,14,http://localhost/opencart/,267,0,0
1775468319857,332,HTTP Request,200,OK,Stress Test - 500 Users 6-2,text,true,,34909,241,4,14,http://localhost/opencart/,51,0,41
1775468319857,59,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-2,text,true,,620,120,4,14,http://localhost/opencart,51,0,41
1775468319917,272,HTTP Request-1,200,OK,Stress Test - 500 Users 6-2,text,true,,34289,121,4,14,http://localhost/opencart/,270,0,0
1775468319856,334,HTTP Request,200,OK,Load Test-Scenario 3 - 100 Users 5-1,text,true,,35218,241,2,14,http://localhost/opencart/,51,0,41
1775468319856,59,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 3 - 100 Users 5-1,text,true,,620,120,2,14,http://localhost/opencart,51,0,41
1775468319917,273,HTTP Request-1,200,OK,Load Test-Scenario 3 - 100 Users 5-1,text,true,,34598,121,2,14,http://localhost/opencart/,272,0,0
1775468319856,337,HTTP Request,200,OK,Load Test-Scenario 2 - 50 Users 4-1,text,true,,34671,241,2,9,http://localhost/opencart/,51,0,41
1775468319856,59,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 2 - 50 Users 4-1,text,true,,620,120,2,9,http://localhost/opencart,51,0,41
1775468319917,276,HTTP Request-1,200,OK,Load Test-Scenario 2 - 50 Users 4-1,text,true,,34051,121,2,9,http://localhost/opencart/,275,0,0
1775468319856,338,HTTP Request,200,OK,Stress Test - 200 Users 2-1,text,true,,34671,241,3,9,http://localhost/opencart/,51,0,41
1775468319856,59,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-1,text,true,,620,120,3,9,http://localhost/opencart,51,0,41
1775468319917,277,HTTP Request-1,200,OK,Stress Test - 200 Users 2-1,text,true,,34051,121,3,9,http://localhost/opencart/,276,0,0
1775468319857,338,HTTP Request,200,OK,Stress Test - 200 Users 2-2,text,true,,34671,241,2,7,http://localhost/opencart/,51,0,42
1775468319857,59,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-2,text,true,,620,120,2,7,http://localhost/opencart,51,0,42
1775468319917,278,HTTP Request-1,200,OK,Stress Test - 200 Users 2-2,text,true,,34051,121,2,7,http://localhost/opencart/,276,0,0
1775468319966,232,HTTP Request,200,OK,Stress Test - 500 Users 6-3,text,true,,34671,241,2,6,http://localhost/opencart/,2,0,1
1775468319966,2,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-3,text,true,,620,120,2,6,http://localhost/opencart,2,0,1
1775468319968,230,HTTP Request-1,200,OK,Stress Test - 500 Users 6-3,text,true,,34051,121,2,6,http://localhost/opencart/,229,0,0
1775468320001,216,HTTP Request,200,OK,Load Test-Scenario 3 - 100 Users 5-2,text,true,,34671,241,1,6,http://localhost/opencart/,2,0,1
1775468320001,2,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 3 - 100 Users 5-2,text,true,,620,120,1,6,http://localhost/opencart,2,0,1
1775468320003,214,HTTP Request-1,200,OK,Load Test-Scenario 3 - 100 Users 5-2,text,true,,34051,121,1,6,http://localhost/opencart/,213,0,0
1775468320032,197,HTTP Request,200,OK,Stress Test - 200 Users 2-3,text,true,,34671,241,1,5,http://localhost/opencart/,2,0,1
1775468320032,2,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-3,text,true,,620,120,1,5,http://localhost/opencart,2,0,1
1775468320034,195,HTTP Request-1,200,OK,Stress Test - 200 Users 2-3,text,true,,34051,121,1,5,http://localhost/opencart/,193,0,0
1775468320085,185,HTTP Request,200,OK,Stress Test - 500 Users 6-4,text,true,,34671,241,2,5,http://localhost/opencart/,2,0,0
1775468320085,2,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-4,text,true,,620,120,2,5,http://localhost/opencart,2,0,0
1775468320087,183,HTTP Request-1,200,OK,Stress Test - 500 Users 6-4,text,true,,34051,121,2,5,http://localhost/opencart/,181,0,0
1775468320084,201,HTTP Request,200,OK,Load Test-Scenario 2 - 50 Users 4-2,text,true,,34671,241,1,4,http://localhost/opencart/,3,0,1
1775468320084,3,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 2 - 50 Users 4-2,text,true,,620,120,1,4,http://localhost/opencart,3,0,1
1775468320087,198,HTTP Request-1,200,OK,Load Test-Scenario 2 - 50 Users 4-2,text,true,,34051,121,1,4,http://localhost/opencart/,196,0,0
1775468320132,172,HTTP Request,200,OK,Smoke Test - 2 Users 1-2,text,true,,34671,241,1,4,http://localhost/opencart/,1,0,1
1775468320132,1,HTTP Request-0,301,Moved Permanently,Smoke Test - 2 Users 1-2,text,true,,620,120,1,4,http://localhost/opencart,1,0,1
